#,d2f/dtheta2,df/dtheta,f(xyz),plane,theta,variable,x,y,z
5,-0.011819185889603751,-1.380449080496318e-17,0.005738022578460443,(010) plane,-0.8531960876264831,INS: Volume,2.1168475039596135,0.0,0.001314021712885112
6,0.028025667495050168,1.380449080496318e-17,0.004077702855318549,(010) plane,-0.11557132216316889,INS: Volume,1.546041443474602,0.0,1.4442954574998295
7,-0.04743106083500151,-1.7255613506203975e-18,0.00408783916374655,(010) plane,-0.08164830359017004,INS: Volume,1.4953101324424756,0.0,1.4945128080818328
8,0.2559278013300907,5.1766840518611924e-18,0.004016907601784816,(010) plane,-0.02210636766982188,INS: Volume,1.5517771784699668,0.0,1.4586184174022143
9,-0.019016946772044848,3.451122701240795e-18,0.0057579668126768535,(010) plane,0.6042268606967645,INS: Volume,0.002779774483886794,0.0,2.11784600335844
10,0.009788867692804277,0.0,0.004075027372019698,(010) plane,1.284958912260237,INS: Volume,-1.4493638512871023,0.0,1.5430555254381118
11,-0.011033149720766258,0.0,0.005739565613298014,(010) plane,2.1440240652526508,INS: Volume,-2.117196083220761,0.0,-0.004663851938230032
12,0.016031752967742417,-1.380449080496318e-17,0.004072309396623276,(010) plane,2.911442936833247,INS: Volume,-1.537017385044615,0.0,-1.4558948872177155
13,-0.006755189879287489,6.90224540248159e-18,0.004075143719794707,(010) plane,2.9459790474297667,INS: Volume,-1.503720646917351,0.0,-1.490567176128419
14,0.016499175314695688,-3.451122701240795e-18,0.004068075054714676,(010) plane,3.000289828096091,INS: Volume,-1.449382703688799,0.0,-1.543255835477948
1,-9.015158562737671e-5,0.0,0.002112365986146867,(010) plane,-2.4553963342888223,INS: Electron Density FOO,8.768551241420883e-5,0.0,-2.1171759598145843
2,0.00021166635478214868,0.0,0.0021029773290031652,(010) plane,-1.7822305311509024,INS: Electron Density FOO,1.3773398075688568,0.0,-1.6080031595060853
3,-0.00030581176639379415,0.0,0.0021035064217304615,(010) plane,-1.6902546665196299,INS: Electron Density FOO,1.5017056280807335,0.0,-1.4929108471809986
4,7.469543660554195e-6,0.0,0.0021031636412957937,(010) plane,-1.5900983124465007,INS: Electron Density FOO,1.6202934634590396,0.0,-1.3605351521499913
